cod_assunt_judici;cod_cjf;cod_cnj_filho;cod_cnj_pai;des_assunt_jf
100000;01          ;9985;;Direito Administrativo e outras matérias do Direito Público
101000;0101        ;9986;9985;Garantias Constitucionais
101001;1106        ;6192;6191;Nacionalidade
101002;010102      ;9988;9986;Anistia Política
101003;010103      ;;;Veiculação de Imagens
101004;010104      ;9989;9986;Direitos Indígenas
101005;010106      ;9990;9986;Intervenção em Estado/Município
101006;;11848;9986;Alimentação
101007;;11847;9986;ASSISTÊNCIA SOCIAL
101008;;11845;9986;Comunicação Social
101009;;11844;9986;Minorias Étnicas
101010;;11846;9986;Moradia
101011;;11849;9986;Não Discriminação
101012;;11842;9986;Pessoa Idosa
101013;;11843;9986;Pessoas com deficiência
102000;0102        ;9991;9985;Responsabilidade da Administração
102002;01030801    ;10012;10011;Dano ao Erário
102003;010203      ;9994;9991;Indenização por Dano Ambiental
102006;010206      ;9992;9991;Indenização por Dano Moral
102007;01020601    ;9995;9992;Erro Médico
102008;01020602    ;9996;9992;Acidente de Trânsito
102009;010207      ;10502;9991;Indenização por Dano Material
102010;01020701    ;10503;10502;Erro Médico
102011;01020702    ;10504;10502;Acidente de Trânsito
103000;0103        ;9997;9985;Atos Administrativos
103001;010301      ;9998;9997;Licenças
103002;01030101    ;9999;9998;Declaração de Bagagem
103003;01030102    ;10000;9998;Declaração de Trânsito Aduaneiro
103004;010308      ;10011;9997;Improbidade Administrativa
103005;010105      ;10587;9986;Proteção da Intimidade e Sigilo de Dados
103006;010306      ;10009;9997;Inquérito/Processo/Recurso Administrativo
103007;01030106    ;10001;9998;Comercialização sem restrições de Produtos Industrializados
103008;01030107    ;10002;9998;Comercialização sem restrições de Gêneros Alimentícios
103009;01030108    ;10003;9998;Comercialização e/ou utilização sem Restrições de Medicamentos
103010;01030109    ;10004;9998;Funcionamento e Comércio de Derivados de Petróleo
103011;01030110    ;10005;9998;Registro de Empresa
103012;010307      ;10010;9997;Ato Lesivo ao Patrimônio Artístico Estético, Histórico ou Turístico
103013;01030112    ;10006;9998;Funcionamento de Estabelecimentos Empresariais
103014;012101      ;10111;10110;Revogação/Concessão de Licença Ambiental
103015;010302      ;10015;9997;Fiscalização
103016;01030201    ;10016;10015;Inspeção Fitossanitária
103017;01030202    ;10017;10015;Exportação/Vedações
103018;01030203    ;10018;10015;Inspeção Sanitária de Origem Animal
103020;010304      ;10020;9997;Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra
103021;011801      ;10410;10409;Contrato Temporário de Mão de Obra L 8745/1993
103022;012102      ;10112;10110;Revogação/Anulação de Multa Ambiental
103023;01030204    ;10019;10015;Segurança e Medicina do Trabalho
103024;01030116    ;10008;9998;Registro de Aeronave
103025;01030802    ;10013;10011;Enriquecimento Ilícito
103026;01030803    ;10014;10011;Violação aos Princípios Administrativos
103027;010310      ;10022;9997;Infração Administrativa
103028;01031001    ;10023;10022;Multas e demais Sanções
103029;01031002    ;10024;10022;Interdição
103030;01031003    ;10025;10022;Apreensão
103031;010311      ;10026;9997;Registro de Direito Autoral
103032;010312      ;10027;9997;Registro de Programa de Computador
104000;0104        ;10028;9985;Serviços
104005;010402      ;10029;10028;Ensino Superior
104006;01040201    ;10030;10029;Matrícula
104007;            ;10031;10029;Financiamento Público da Educação
104008;01040203    ;10032;10029;Colação de Grau
104009;01040204    ;10033;10029;Exigência de Estágio Profissionalizante
104010;01040205    ;10034;10029;Transferência de Estudante
104011;01040206    ;10035;10029;Freqüência às Aulas
104012;01040207    ;10036;10029;Penalidades Disciplinares
104014;01040209    ;10037;10029;Colisão de Horário
104015;01040210    ;10038;10029;Vestibular
104016;01040211    ;10039;10029;Mensalidades
104017;01040212    ;10040;10029;Currículo Escolar
104018;01040213    ;10041;10029;Ingresso no Curso Superior
104019;01040214    ;10042;10029;Jubilamento de Aluno
104020;01040215    ;10043;10029;Criação e/ou Autorização para funcionamento de Curso Superior
104021;01040216    ;10044;10029;Omissão de Entrega de Notas
104022;01040217    ;10045;10029;Diplomas/Certificado de Conclusão do Curso
104024;01040219    ;10047;10029;Residência Médica
104025;01040220    ;10048;10029;Provão - Avaliação da Educação Superior
104026;010403      ;10051;10028;Ensino Fundamental e Médio
104028;01040302    ;10052;10051;Mensalidade
104029;01040303    ;10053;10051;Matrícula
104030;01040304    ;10054;10051;Material Didático
104031;01040305    ;10055;10051;Exame Nacional de Ensino Médio/ ENEM
104032;010404      ;10064;10028;Saúde
104033;01040401    ;10065;10064;Repasse de Verbas do SUS
104034;01040402    ;10066;10064;Reajuste da Tabela do SUS
104035;01040403    ;10067;10064;Convênio Médico com o SUS
104037;01040405    ;10069;10064;Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos
104038;01040406    ;10070;10064;Ressarcimento ao SUS
104039;0119        ;10417;9985;Sistema Nacional de Trânsito
104040;010406      ;10072;10028;Sistema Nacional do Desporto
104041;01040811    ;10074;10073;Fornecimento de Gás
104042;010408      ;10073;10028;Concessão/Permissão/Autorização
104043;01040801    ;10075;10073;Energia Elétrica
104044;01040802    ;10076;10073;Transporte Terrestre
104045;01040803    ;10077;10073;Transporte Aéreo - Aeroporto
104047;01040805    ;10078;10073;Radiodifusão
104048;01030117    ;10079;9998;Loterias/Sorteio
104049;01040807    ;10080;10073;Telefonia
104050;01040808    ;10081;10073;Transporte Aquaviário
104051;01030115    ;10007;9998;Registro/Porte de Arma de Fogo
104052;01040809    ;10082;10073;Serviço Postal
104053;01040221    ;10049;10029;Sistemas de cotas - Lei 10558/2002 - Ensino Superior - Serviços - Administrativo
104054;01040407    ;10071;10064;Genética / Células Tronco
104055;01040222    ;10050;10029;Pós-Graduação - Ensino Superior - Administrativo
104056;01030118    ;10084;9998;Jogos de Bingo e/ou Caça-níqueis
104057;01040306    ;10056;10051;Penalidades Disciplinares
104058;01040307    ;10057;10051;Transferência
104059;01040308    ;10058;10051;Ensino Especial
104060;01040309    ;10059;10051;Exame Supletivo
104061;01040310    ;10060;10051;Merenda
104062;01040311    ;10061;10051;Transporte
104063;01040312    ;10062;10051;Educação Pré-Escolar
104064;01040313    ;10063;10051;Educação Profissionalizante
104065;01040223    ;10046;10029;Financiamento privado da educação e/ou pesquisa
104066;;11855;10064;Controle Social e Conselhos de Saúde
104067;;11857;10064;"""Doação e Transplante de Órgãos; Tecidos e Partes do Corpo Humano"""
104068;;11852;10064;Financiamento do SUS
104069;;11884;10064;Fornecimento de Medicamentos
104070;;11856;10064;Hospitais e Outras Unidades de Saúde
104071;;11854;10064;Saúde Mental
104072;;11851;10064;Terceirização do SUS
104073;;11883;10064;Tratamento Médico-Hospitalar
104074;;11885;11883;Unidade de terapia intensiva (UTI) ou unidade de cuidados intensivos (UCI)
104075;;11853;10064;Vigilância Sanitária e Epidemiológica
104076;;11993;10064;INTERNAÇÃO COMPULSÓRIA
104077;;11994;10064;INTERNAÇÃO VOLUNTÁRIA
104078;;11995;10064;INTERNAÇÃO INVOLUNTÁRIA
105000;0105        ;10088;9985;Domínio Público
105001;010501      ;10089;10088;Bens Públicos
105002;01050101    ;10090;10089;Locação/ Permissão de Uso
105004;01050102    ;10091;10089;Terreno de Marinha
105005;01050103    ;10092;10089;Taxa de Ocupação
105009;01050402    ;10103;10102;Terreno Aldeado
105010;01050105    ;10095;10089;Águas Públicas
105011;010504      ;10102;10088;Terras Indígenas
105012;01050401    ;10104;10102;Restituição de área - FUNAI
105013;010505      ;10106;10088;Recursos Minerais
105014;012103      ;10113;10110;Flora
105015;012104      ;10114;10110;Fauna
105016;010508      ;10107;10088;Espaço Aéreo
105017;010509      ;10108;10088;Patrimônio Histórico / Tombamento
105018;010309      ;10021;9997;Registro de Marcas, Patentes ou Invenções
105019;0121        ;10110;9985;Meio Ambiente
105020;012105      ;10115;10110;Transgênicos
105021;012106      ;10116;10110;Agrotóxicos
105023;01050104    ;10093;10089;Foro/Laudêmio
105024;01050106    ;10094;10089;Terras Devolutas
105025;01050107    ;10096;10089;Bloqueio de Valores de Contas Públicas
105026;010512      ;10097;10088;Imóvel Funcional
105027;01051201    ;10098;10097;Alienação
105028;01051202    ;10099;10097;Ocupação
105029;01051203    ;10100;10097;Reintegração de Posse
105030;01051204    ;10101;10097;Taxa de Ocupação
105031;01050403    ;10105;10102;Demarcação
105032;;11870;10089;Utilização de bens públicos
106000;0106        ;10120;9985;Intervenção do Estado na Propriedade
106001;010601      ;10121;10120;Desapropriação
106002;010602      ;10122;10120;Desapropriação por Utilidade Pública/DL 3365/1941
106003;010603      ;10123;10120;Desapropriação por Interesse Social Comum/ Lei 4132/1962
106004;010604      ;10124;10120;Desapropriação por Interesse Social para Reforma Agrária
106005;010605      ;10125;10120;Desapropriação Indireta
106006;010606      ;10126;10120;Retrocessão
106007;010607      ;10127;10120;Vistoria
106008;010608      ;10128;10120;Servidão Administrativa
106009;010609      ;10129;10120;Ocupação Temporária
106010;010610      ;10130;10120;Limitação Administrativa
106011;010513      ;10131;10088;Privatização
106013;010613      ;10132;10120;Restituição de área
106014;010614      ;10133;10120;Direito de Preempção
