sig_uf;cod_locali_judici;num_distri_judici;tip_distri_judici;dat_distri_judici;cod_magist_distri_judici;nom_direto_distri_judici;dat_distri_inform;cod_genero_judici;cod_classe_distri
SP;01;17023;01;04/01/2016;000000099;;04/01/2016;;
SP;01;17024;00;04/01/2016;000000099;;;0;      
SP;01;17024;00;04/01/2016;000000099;;;0;      
SP;01;17024;00;04/01/2016;000000099;;;0;      
SP;01;17024;00;04/01/2016;000000099;;;0;      
SP;01;17025;00;05/01/2016;000000099;;;1;      
SP;01;17025;00;05/01/2016;000000099;;;1;      
SP;01;17029;00;06/01/2016;000000099;;;0;      
SP;01;17029;00;06/01/2016;000000099;;;0;      
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17030;01;06/01/2016;000000099;;06/01/2016;;
SP;01;17031;00;07/01/2016;000000099;;;0;      
SP;01;17031;00;07/01/2016;000000099;;;0;      
SP;01;17031;00;07/01/2016;000000099;;;0;      
SP;01;17031;00;07/01/2016;000000099;;;0;      
SP;01;17031;00;07/01/2016;000000099;;;0;      
