cod_magist_sucedi;dat_inicio_orgao;dat_termin_orgao;cod_magist_sucess;cod_orgao_gabine_sucedi;cod_orgao_gabine_sucess
000000001;02-mai-91;23-abr-92;000000014;SP01G2033;SP01G2033
000000002;30-mar-89;01-mai-91;000000002;SP01G2033;SP01G0992
000000002;02-mai-91;02-mai-93;000000004;SP01G0992;SP01G2044
000000002;02-mai-95;15-jun-95;000000002;SP01G1024;SP01G2043
000000002;16-jun-95;31-jul-95;000000002;SP01G2043;SP01G2064
000000002;01-ago-95;08-set-96;000000023;SP01G2064;SP01G1053
000000003;30-mar-89;02-mai-93;000000003;SP01G2044;SP01G0992
000000003;03-mai-93;01-mai-95;000000002;SP01G0992;SP01G1024
000000003;05-mai-97;09-mai-02;000000035;SP01G1011;SP01G2041
000000004;30-mar-89;01-mai-91;000000001;SP01G0992;SP01G2033
000000004;03-mai-93;11-mai-97;000000024;SP01G2044;SP01G2062
000000005;30-mar-89;02-mai-93;000000005;SP01G1014;SP01G0991
000000005;03-mai-93;04-mai-97;000000003;SP01G0991;SP01G1011
000000005;03-mai-99;30-jun-99;000000030;SP01G2034;SP01G2064
000000006;30-mar-89;26-mar-98;000000027;SP01G2031;SP01G1054
000000007;30-mar-89;01-mai-95;000000007;SP01G1024;SP01G0992
000000007;02-mai-95;01-mai-99;000000005;SP01G0992;SP01G2034
000000007;02-mai-01;02-abr-02;000000034;SP01G2061;SP01G2031
000000008;30-mar-89;04-mai-97;000000008;SP01G2034;SP01G0993
000000008;05-mai-97;01-mai-01;000000007;SP01G0993;SP01G2061
000000008;05-mai-03;26-mar-15;000000008;SP01G2033;SP01G9992
000000008;27-mar-15;09-jun-15;000000070;SP01G9992;SP01G3072
000000009;30-mar-89;02-mai-99;000000009;SP01G2032;SP01G0991
000000009;03-mai-99;04-mai-03;000000008;SP01G0991;SP01G2033
000000009;02-mai-05;17-mai-10;000000038;SP01G3104;SP01G2042
000000010;30-mar-89;18-out-95;000000022;SP01G2042;SP01G1052
000000011;30-mar-89;06-out-98;000000029;SP01G2041;SP01G1023
000000012;30-mar-89;10-mai-93;000000020;SP01G2043;SP01G1013
000000013;30-mar-89;31-jul-95;000000013;SP01G1023;SP01G1051
000000013;01-ago-95;18-dez-95;000000013;SP01G1051;SP01G2042
000000013;19-dez-95;14-jan-02;000000033;SP01G2042;SP01G1051
000000014;30-mar-89;07-mai-92;000000019;SP01G1012;SP01G1012
000000014;08-mai-92;31-jul-95;000000014;SP01G2033;SP01G2061
000000014;01-ago-95;01-mai-01;000000014;SP01G2061;SP01G0992
000000014;02-mai-01;01-mai-05;000000009;SP01G0992;SP01G3104
000000014;03-mai-07;06-out-08;000000014;SP01G3092;SP01G3103
000000014;07-out-08;28-nov-11;000000014;SP01G3103;SP01G2064
000000014;29-nov-11;21-fev-12;000000014;SP01G2064;SP01G3073
000000014;22-fev-12;21-out-12;000000014;SP01G3073;SP01G2044
000000014;22-out-12;14-jul-13;000000014;SP01G2044;SP01G3072
000000014;15-jul-13;17-fev-14;000000014;SP01G3072;SP01G2031
000000014;18-fev-14;02-jun-15;000000014;SP01G2031;SP01G2062
000000014;03-jun-15;;;SP01G2062;
000000015;30-mar-89;28-jun-00;000000031;SP01G1021;SP01G2044
000000016;30-mar-89;10-jun-03;000000036;SP01G1022;SP01G2063
000000017;30-mar-89;18-dez-95;000000017;SP01G1011;SP01G1051
000000017;19-dez-95;05-out-97;000000025;SP01G1051;SP01G2043
000000018;30-mar-89;10-mai-93;000000018;SP01G1013;SP01G2043
000000018;11-mai-93;15-jun-95;000000018;SP01G2043;SP01G1024
000000018;16-jun-95;14-ago-95;000000021;SP01G1024;SP01G2033
000000019;12-jun-92;05-fev-98;000000026;SP01G1012;SP01G1014
000000020;11-mai-93;;;SP01G1013;
000000021;15-ago-95;04-mai-03;000000021;SP01G2033;SP01G0993
000000021;05-mai-03;01-mai-07;000000021;SP01G0993;SP01G1052
000000021;02-mai-07;02-ago-09;000000021;SP01G1052;SP01G3102
000000021;03-ago-09;;;SP01G3102;
000000022;19-out-95;01-mai-07;000000022;SP01G1052;SP01G0992
000000022;02-mai-07;16-fev-12;000000022;SP01G0992;SP01G2044
000000022;17-fev-12;16-jul-12;000000041;SP01G2044;SP01G3091
000000023;09-set-96;28-jun-07;000000023;SP01G1053;SP01G0991
000000023;29-jun-07;16-fev-12;000000023;SP01G0991;SP01G2041
000000023;17-fev-12;;;SP01G2041;
000000024;11-mai-97;01-mai-05;000000024;SP01G2062;SP01G0991
000000024;02-mai-05;01-mai-07;000000014;SP01G0991;SP01G3092
000000024;19-fev-10;21-fev-12;000000024;SP01G2043;SP01G2064
000000024;22-fev-12;01-mar-12;000000024;SP01G2064;SP01G2043
000000024;02-mar-12;;;SP01G2043;
000000025;06-out-97;09-ago-01;000000032;SP01G2043;SP01G1024
000000026;06-fev-98;19-dez-02;000000026;SP01G1014;SP01G2043
000000026;20-dez-02;18-fev-10;000000024;SP01G2043;SP01G2043
000000026;22-fev-12;28-out-13;000000026;SP01G3074;SP01G9992
000000026;29-out-13;25-fev-14;000000056;SP01G9992;SP01G1023
000000027;26-mar-98;06-nov-12;000000042;SP01G1054;SP01G2064
000000029;07-out-98;31-jul-03;000000037;SP01G1023;SP01G2032
000000030;01-jul-99;06-jan-03;000000030;SP01G2064;SP01G2041
000000030;07-jan-03;16-fev-12;000000030;SP01G2041;SP01G0992
000000030;17-fev-12;04-jan-15;000000030;SP01G0992;SP01G9993
000000030;05-jan-15;09-jun-15;000000061;SP01G9993;SP01G1025
000000031;29-jun-00;21-mai-03;000000031;SP01G2044;SP01G3071
000000031;22-mai-03;14-jun-04;000000031;SP01G3071;SP01G3084
000000031;15-jun-04;16-fev-12;000000026;SP01G3084;SP01G3074
000000031;17-fev-14;09-abr-14;000000031;SP01G3074;SP01G3082
000000031;10-abr-14;;;SP01G3082;
000000032;10-ago-01;01-mai-07;000000032;SP01G1024;SP01G0993
000000032;02-mai-07;28-jun-07;000000032;SP01G0993;SP01G1053
000000032;29-jun-07;11-jan-11;000000032;SP01G1053;SP01G1024
000000032;12-jan-11;;;SP01G1024;
000000033;14-jan-02;07-set-03;000000033;SP01G1051;SP01G2044
000000033;08-set-03;16-fev-12;000000033;SP01G2044;SP01G0993
000000033;17-fev-12;16-fev-14;000000031;SP01G0993;SP01G3074
000000033;22-fev-16;;;SP01G2063;
000000034;03-abr-02;16-fev-14;000000034;SP01G2031;SP01G0991
