cod_orgao_gabine;cod_magist;sta_magist_gabine_judici;dat_inicio_ativid_judici;dat_termin_ativid_judici
SP01G0002;000000000;T ;30-mar-89;
SP01G0002;00000056S;C ;07-jul-05;18-fev-10
SP01G0002;00000085S;C ;18-mai-07;03-mai-09
SP01G0002;00000138S;C ;26-jul-12;31-jan-13
SP01G0002;00000178S;C ;22-fev-16;
SP01G0003;000000099;T ;30-mar-89;
SP01G0003;00000059S;C ;26-fev-14;31-dez-15
SP01G0003;00000089S;C ;17-fev-12;16-fev-14
SP01G0003;00000113S;C ;22-abr-13;16-fev-14
SP01G0003;00000178S;C ;26-fev-14;21-fev-16
SP01G0003;00000180S;C ;16-mar-16;
SP01G0003;00000185S;C ;18-jan-16;
SP01G0004;000000067;S ;10-ago-16;17-ago-16
SP01G0004;000000098;T ;01-fev-08;
SP01G0004;00000070S;C ;18-abr-16;
SP01G0071;00000001C;T ;17-fev-12;
SP01G0081;00000001J;T ;17-fev-12;16-fev-14
SP01G0081;00000004J;T ;17-fev-14;21-fev-16
SP01G0081;00000007J;T ;22-fev-16;
SP01G0082;00000002J;T ;17-fev-12;16-fev-14
SP01G0082;00000005J;T ;17-fev-14;25-fev-16
SP01G0082;00000008J;T ;26-fev-16;
SP01G0083;00000003J;T ;17-fev-12;16-fev-14
SP01G0083;00000006J;T ;17-fev-14;25-fev-16
SP01G0083;00000009J;T ;26-fev-16;
SP01G0091;00000001A;T ;17-fev-12;16-fev-14
SP01G0091;00000004A;T ;17-fev-14;25-fev-16
SP01G0091;00000007A;T ;26-fev-16;
SP01G0092;00000002A;T ;17-fev-12;16-fev-14
SP01G0092;00000005A;T ;17-fev-14;25-fev-16
SP01G0092;00000008A;T ;26-fev-16;
SP01G0093;00000003A;T ;17-fev-12;16-fev-14
SP01G0093;00000006A;T ;17-fev-14;25-fev-16
SP01G0093;00000009A;T ;26-fev-16;
SP01G0991;000000005;T ;03-mai-93;02-mai-99
SP01G0991;000000009;T ;03-mai-99;04-mai-03
SP01G0991;000000023;T ;29-jun-07;16-fev-12
SP01G0991;000000024;T ;02-mai-05;01-mai-07
SP01G0991;000000034;T ;17-fev-14;21-fev-16
SP01G0992;000000002;T ;02-mai-91;02-mai-93
SP01G0992;000000003;T ;03-mai-93;01-mai-95
SP01G0992;000000004;T ;30-mar-89;01-mai-91
SP01G0992;000000007;T ;05-mai-97;01-mai-01
SP01G0992;000000014;T ;02-mai-01;01-mai-05
SP01G0992;000000022;T ;02-mai-07;16-fev-12
SP01G0992;000000030;T ;17-fev-12;04-jan-15
SP01G0992;000000035;T ;10-jun-15;
SP01G0993;000000008;T ;05-mai-97;01-mai-01
SP01G0993;000000021;T ;05-mai-03;01-mai-07
SP01G0993;000000032;T ;02-mai-07;28-jun-07
SP01G0993;000000033;T ;17-fev-12;16-fev-14
SP01G0993;000000036;T ;22-fev-16;
SP01G1011;000000003;T ;05-mai-97;08-mai-02
SP01G1011;000000017;T ;30-mar-89;18-dez-95
SP01G1011;000000030;T ;19-dez-95;20-out-96
SP01G1011;000000042;T ;13-set-02;21-out-12
SP01G1011;000000068;T ;24-abr-13;01-jul-14
SP01G1011;00000023S;T ;21-out-96;04-mai-97
SP01G1011;00000024S;C ;01-jul-02;19-dez-02
SP01G1011;00000024S;C ;03-fev-03;28-abr-03
SP01G1011;00000026S;C ;19-nov-01;17-mai-02
SP01G1011;00000026S;C ;20-mai-02;19-dez-02
SP01G1011;00000026S;C ;03-fev-03;21-mai-03
SP01G1011;00000045S;C ;19-nov-01;17-mai-02
SP01G1011;00000045S;C ;20-mai-02;30-jun-02
SP01G1011;00000047S;C ;06-set-99;19-dez-99
SP01G1011;00000047S;C ;01-fev-00;18-jun-00
SP01G1011;00000048S;C ;19-nov-01;17-mai-02
SP01G1011;00000048S;C ;20-mai-02;19-dez-02
SP01G1011;00000048S;C ;03-fev-03;21-mai-03
SP01G1011;00000051S;C ;28-set-09;31-dez-09
SP01G1011;00000055S;C ;28-set-09;31-dez-09
SP01G1011;00000059S;C ;02-ago-00;19-dez-00
SP01G1011;00000059S;C ;01-fev-01;29-jun-01
SP01G1011;00000059S;C ;01-ago-01;28-set-01
SP01G1011;00000059S;C ;19-nov-01;08-mai-02
SP01G1011;00000059S;T ;09-mai-02;12-set-02
SP01G1011;00000065S;C ;19-nov-01;17-mai-02
SP01G1011;00000065S;C ;20-mai-02;19-dez-02
SP01G1011;00000065S;C ;03-fev-03;21-mai-03
SP01G1011;00000066S;C ;19-nov-01;17-mai-02
SP01G1011;00000066S;C ;20-mai-02;19-dez-02
SP01G1011;00000066S;C ;03-fev-03;21-mai-03
SP01G1011;00000073S;C ;20-mai-02;19-dez-02
SP01G1011;00000073S;C ;03-fev-03;21-mai-03
SP01G1011;00000085S;T ;22-out-12;23-abr-13
SP01G1011;00000085S;S ;25-abr-13;04-jun-14
SP01G1011;00000090S;S ;02-jul-07;02-ago-07
SP01G1011;00000101S;C ;28-set-09;07-out-09
SP01G1011;00000113S;C ;30-set-09;31-dez-09
SP01G1011;00000124S;C ;13-out-09;31-dez-09
SP01G1012;000000014;T ;30-mar-89;07-mai-92
SP01G1012;000000019;T ;30-mar-89;11-jun-92
SP01G1012;000000019;T ;12-jun-92;05-fev-98
SP01G1012;000000043;T ;20-dez-02;15-jan-03
SP01G1012;000000044;T ;16-jan-03;23-set-03
SP01G1012;000000055;T ;06-out-03;02-ago-09
SP01G1012;000000064;T ;01-jul-10;01-jul-14
SP01G1012;00000023S;C ;25-ago-99;19-dez-99
SP01G1012;00000023S;C ;01-fev-00;22-fev-00
SP01G1012;00000023S;T ;23-fev-00;01-abr-02
SP01G1012;00000024S;C ;01-jul-02;19-dez-02
SP01G1012;00000024S;C ;03-fev-03;28-abr-03
SP01G1012;00000026S;C ;19-nov-01;17-mai-02
SP01G1012;00000026S;C ;20-mai-02;19-dez-02
SP01G1012;00000026S;C ;03-fev-03;21-mai-03
SP01G1012;00000031S;T ;06-fev-98;01-out-98
SP01G1012;00000031S;T ;02-out-98;22-fev-00
SP01G1012;00000045S;C ;19-nov-01;17-mai-02
SP01G1012;00000045S;C ;20-mai-02;30-jun-02
SP01G1012;00000048S;C ;19-nov-01;17-mai-02
SP01G1012;00000048S;C ;20-mai-02;19-dez-02
SP01G1012;00000048S;C ;03-fev-03;21-mai-03
SP01G1012;00000051S;C ;03-mar-00;29-jun-00
SP01G1012;00000051S;C ;01-ago-00;19-dez-00
SP01G1012;00000051S;C ;01-fev-01;29-jun-01
SP01G1012;00000051S;C ;01-ago-01;15-ago-01
SP01G1012;00000051S;C ;28-set-09;31-dez-09
SP01G1012;00000055S;C ;28-set-09;31-dez-09
SP01G1012;00000059S;C ;19-nov-01;08-mai-02
SP01G1012;00000065S;C ;19-nov-01;17-mai-02
SP01G1012;00000065S;C ;20-mai-02;19-dez-02
SP01G1012;00000065S;C ;03-fev-03;21-mai-03
SP01G1012;00000066S;C ;19-nov-01;17-mai-02
SP01G1012;00000066S;C ;20-mai-02;19-dez-02
SP01G1012;00000066S;C ;03-fev-03;21-mai-03
SP01G1012;00000068S;T ;01-abr-02;19-dez-02
SP01G1012;00000070S;S ;10-jan-11;09-fev-11
SP01G1012;00000070S;S ;04-jul-11;05-ago-11
SP01G1012;00000070S;S ;09-jan-12;07-fev-12
SP01G1012;00000070S;S ;02-jul-12;01-ago-12
SP01G1012;00000073S;C ;20-mai-02;19-dez-02
SP01G1012;00000073S;C ;03-fev-03;21-mai-03
SP01G1012;00000076S;T ;24-set-03;05-out-03
SP01G1012;00000101S;C ;28-set-09;07-out-09
SP01G1012;00000113S;C ;30-set-09;31-dez-09
SP01G1012;00000124S;C ;13-out-09;31-dez-09
SP01G1012;00000134S;T ;03-ago-09;30-jun-10
SP01G1012;00000148S;C ;08-abr-14;08-abr-14
SP01G1012;00000155S;S ;07-jan-13;29-jan-13
SP01G1012;00000160S;S ;01-jul-13;18-jul-13
